Wine 0	0.500136, 0.499864, 
Wine 2	0.51986, 0.48014, 
Wine 3	0.514162, 0.485838, 
Wine 4	0.477735, 0.522265, 
Wine 5	0.519023, 0.480977, 
Wine 7	0.520687, 0.479313, 
Wine 8	0.4907, 0.5093, 
Wine 9	0.497222, 0.502778, 
Wine 10	0.500157, 0.499843, 
Wine 12	0.480668, 0.519332, 
Wine 13	0.472199, 0.527801, 
Wine 14	0.471664, 0.528336, 
Wine 15	0.483586, 0.516414, 
Wine 17	0.516958, 0.483042, 
Wine 18	0.474787, 0.525213, 
Wine 19	0.514162, 0.485838, 
Wine 20	0.50743, 0.49257, 
Wine 22	0.4907, 0.5093, 
Wine 23	0.4907, 0.5093, 
Wine 24	0.533174, 0.466826, 
Wine 25	0.52444, 0.47556, 
Wine 27	0.503771, 0.496229, 
Wine 28	0.514042, 0.485958, 
Wine 29	0.519023, 0.480977, 
Wine 30	0.4907, 0.5093, 
Wine 32	0.515323, 0.484677, 
Wine 33	0.515323, 0.484677, 
Wine 34	0.480562, 0.519438, 
Wine 35	0.503771, 0.496229, 
Wine 37	0.487131, 0.512869, 
Wine 38	0.497222, 0.502778, 
Wine 39	0.503818, 0.496182, 
Wine 40	0.49362, 0.50638, 
Wine 42	0.500115, 0.499885, 
Wine 43	0.484743, 0.515257, 
Wine 44	0.522309, 0.477691, 
Wine 45	0.483586, 0.516414, 
Wine 47	0.494293, 0.505707, 
Wine 48	0.474787, 0.525213, 
Wine 49	0.484205, 0.515795, 
Wine 50	0.500136, 0.499864, 
Wine 52	0.504497, 0.495503, 
Wine 53	0.501537, 0.498463, 
Wine 54	0.496525, 0.503475, 
Wine 55	0.491319, 0.508681, 
Wine 57	0.510441, 0.489559, 
Wine 58	0.52444, 0.47556, 
Wine 59	0.490042, 0.509958, 
Wine 60	0.494293, 0.505707, 
Wine 62	0.474787, 0.525213, 
Wine 63	0.487131, 0.512869, 
Wine 64	0.492939, 0.507061, 
Wine 65	0.500818, 0.499182, 
Wine 67	0.49791, 0.50209, 
Wine 68	0.500136, 0.499864, 
Wine 69	0.484743, 0.515257, 
Wine 70	0.478765, 0.521235, 
Wine 72	0.487131, 0.512869, 
Wine 73	0.488393, 0.511607, 
Wine 74	0.481264, 0.518736, 
Wine 75	0.509575, 0.490425, 
Wine 77	0.477735, 0.522265, 
Wine 78	0.497226, 0.502774, 
Wine 79	0.488344, 0.511656, 
Wine 80	0.518553, 0.481447, 
Wine 82	0.503724, 0.496276, 
Wine 83	0.474787, 0.525213, 
Wine 84	0.488971, 0.511029, 
Wine 85	0.500157, 0.499843, 
Wine 87	0.492939, 0.507061, 
Wine 88	0.503771, 0.496229, 
Wine 89	0.500157, 0.499843, 
Wine 90	0.490089, 0.509911, 
Wine 92	0.50668, 0.49332, 
Wine 93	0.527364, 0.472636, 
Wine 94	0.508864, 0.491136, 
Wine 95	0.49362, 0.50638, 
Wine 97	0.477155, 0.522845, 
Wine 98	0.478308, 0.521692, 
Wine 99	0.519023, 0.480977, 
Wine 100	0.50743, 0.49257, 
Wine 102	0.492939, 0.507061, 
Wine 103	0.496525, 0.503475, 
Wine 104	0.486561, 0.513439, 
Wine 105	0.49362, 0.50638, 
Wine 107	0.480668, 0.519332, 
Wine 108	0.483586, 0.516414, 
Wine 109	0.474787, 0.525213, 
Wine 110	0.474229, 0.525771, 
Wine 112	0.497222, 0.502778, 
Wine 113	0.490661, 0.509339, 
Wine 114	0.481264, 0.518736, 
Wine 115	0.484124, 0.515876, 
Wine 117	0.477735, 0.522265, 
Wine 118	0.49428, 0.50572, 
Wine 119	0.49791, 0.50209, 
Wine 120	0.503771, 0.496229, 
Wine 122	0.482959, 0.517041, 
Wine 123	0.49362, 0.50638, 
Wine 124	0.475337, 0.524663, 
Wine 125	0.496525, 0.503475, 
Wine 127	0.508254, 0.491746, 
Wine 128	0.484817, 0.515183, 
Wine 129	0.481853, 0.518147, 
Wine 130	0.485354, 0.514646, 
Wine 132	0.49362, 0.50638, 
Wine 133	0.493598, 0.506402, 
Wine 134	0.490089, 0.509911, 
Wine 135	0.487067, 0.512933, 
Wine 137	0.505976, 0.494024, 
Wine 138	0.4907, 0.5093, 
Wine 139	0.498686, 0.501314, 
Wine 140	0.507504, 0.492496, 
Wine 142	0.528218, 0.471782, 
Wine 143	0.513254, 0.486746, 
Wine 144	0.516958, 0.483042, 
Wine 145	0.503035, 0.496965, 
Wine 147	0.503074, 0.496926, 
Wine 148	0.538805, 0.461195, 
Wine 149	0.49652, 0.50348, 
Wine 150	0.49653, 0.50347, 
Wine 152	0.477735, 0.522265, 
Wine 153	0.477735, 0.522265, 
Wine 154	0.481853, 0.518147, 
Wine 155	0.484743, 0.515257, 
Wine 157	0.471664, 0.528336, 
Wine 158	0.492249, 0.507751, 
Wine 159	0.4907, 0.5093, 
Wine 160	0.484205, 0.515795, 
Wine 162	0.500136, 0.499864, 
Wine 163	0.527364, 0.472636, 
