Name|Vintage|Grade|Review|Author|Attr_1,Attr_2,...,Attr_n-1,Attr_n,|Price|Country|Region|IssueDate
CHÂTEAU DE BEAUCASTEL Châteauneuf-du-Pape White Vieilles Vignes|2011|96|Dense, with creamy layers of pear, apple, green plum and acacia honey all carried by well-embedded acidity. The long finish lets salted butter, chamomile and macadamia nut flavors unfurl nicely, but there's still plenty in reserve for cellaring. Best from 2013 through 2020. 300 cases imported.|–JM|LONG FINISH,APPLE,PEAR,BUTTER,HONEY,CREAM,DENSE,ACIDITY,NICE,|195|France|Southern Rhône|Oct 31, 2012
CLOS DES PAPES Châteauneuf-du-Pape White|2011|95|Very pure, with melon rind and green almond notes stitching up the core of creamed white peach, Fuji apple, acacia honey and salted butter. The long finish lets a mouthwatering jicama note chime in. Drink now through 2020. 835 cases made.|–JM|WHITE PEACH,LONG FINISH,APPLE,MELON,ALMOND,BUTTER,HONEY,MOUTHWATERING,PURE,|93|France|Southern Rhône|Oct 31, 2012
CHÂTEAU DE BEAUCASTEL Châteauneuf-du-Pape White Vieilles Vignes|2010|96|Very rich, this cuts a broad swath, delivering a remarkably lush yet pure core of papaya, mango, green melon and green plum fruit all stitched with macadamia nut, brioche and honeysuckle notes that chime through the superlong finish. There's a great buried stony edge. Roussanne. Drink now through 2024. 200 cases imported.|–JM|MANGO,MELON,PLUM,BRIOCHE,HONEYSUCKLE,BROAD,LUSH,PURE,RICH,|195|France|Southern Rhône|Feb 29, 2012
DOMAINE DE BEAURENARD Châteauneuf-du-Pape White Boisrenard|2010|95|Lush, with creamed melon and sweetened butter notes at the core surrounded by swirls of heather, Jonagold apple, brioche and toasted Brazil nut. The long, creamy finish has heft and cut, while the melon fruit and toast meld nicely and linger effortlessly. Drink now through 2016. 150 cases made.|–JM|APPLE,MELON,FRUIT,BUTTER,TOAST,CREAM,LINGER,LONG,LUSH,NICE,|65|France|Southern Rhône|Nov 15, 2012
C.H. BERRES Riesling Trockenbeerenauslese Mosel Ürziger Würzgarten|2010|95|A rich, buttery aroma leads to a vibrant, luxuriant mix of ripe apricot, peach and kiwifruit flavors that are flanked by notes of smoke and spice. Velvety and lush on the finish, which is filled with notes of cream and golden raisin. Drink now through 2050. Tasted twice, with consistent notes. 40 cases made.|–KM|APRICOT,RAISIN,SMOKE,CREAM,SPICE,CONSISTENT,LUSH,RICH,RIPE,VIBRANT,|295|Germany|Germany|Mar 31, 2012
M. CHAPOUTIER Hermitage White Chante-Alouette|2010|95|Lush and inviting, but also invigorating as the tropical papaya and mango notes are enlivened with extra quince and green fig flavors. A yellow apple skin edge and a salted butter note add more length and definition on the finish. Best from 2013 through 2023. 112 cases imported.|–JM|GREEN FIG,QUINCE,APPLE,MANGO,BUTTER,LENGTH,LUSH,|105|France|Northern Rhône|Sep 30, 2012
GÅRD Riesling Columbia Valley Ice Wine Lawrence Vineyards|2010|95|Creamy, silky, complex and distinctive for its floral, peppery overtones around a succulent core of pear, honey, crème fraîche and subtle spices, lingering impressively, with refinement. Drink now through 2020. Tasted twice, with consistent notes. 125 cases made.|–HS|PEAR,CREAM,FLORAL,COMPLEX,CONSISTENT,DISTINCTIVE,LINGER,SUBTLE,|34|Washington|Washington|Dec 15, 2012
CHÂTEAU HAUT-BRION Pessac-Léognan White|2010|96|Remarkably polished and lush, with creamed white peach, grapefruit curd and heather honey notes, followed by a rapier of crème fraîche, green almond and chamomile flavors that drives through the finish. Weighty, pure and supple, featuring echoes of white truffle and toasted macadamia nut flickering in the background. Sports ample toast on the finish, bound to be soaked up in the cellar thanks to this wine's amazing definition and cut. Best from 2016 through 2030.|–JM|WHITE PEACH,ALMOND,HONEY,TOAST,CHAMOMILE,WHITE,ECHO,LUSH,POLISHED,PURE,SUPPLE,|1250|France|Bordeaux|Mar 31, 2013
JOH. JOS. PRÜM Riesling Auslese Gold Cap Mosel Wehlener Sonnenuhr|2010|95|Ripe, rich and voluptuous, with loads of peach, apricot and mango flavors that feature lots of honey cream and spice notes. The plush finish is a mouthwatering mix of honeydew melon and dried mango. Very well-balanced and seductive. Drink now through 2040.|–KM|APRICOT,PEACH,MANGO,MELON,HONEY,SPICE,MOUTHWATERING,PLUSH,RICH,RIPE,|57|Germany|Germany|Mar 31, 2012
S.A. PRÜM Riesling Auslese Mosel Wehlener Sonnenuhr|2010|95|Concentrated minerality and spiciness give this plenty of power and character. Slate and granite notes are fused with very suave fruit flavors, including peach nectar, pear tart and honeydew melon. The unctuous finish is honeyed and features touches of ripeness. Drink now through 2040. 50 cases made.|–KM|PEACH,MELON,PEAR,FRUIT,MINERAL,MINERAL,CONCENTRATED,CHARACTER,POWER,RIPE,SUAVE,|40|Germany|Germany|Web Only - 2012
ROCO Pinot Noir Chehalem Mountains Private Stash No. Wits' End Vineyard|2010|95|Packs a lot of layers into a tight frame, piling up tiers of raspberry, chocolate and cinnamon flavors on a remarkably transparent structure, with fine tannins underlining the very long, expressive finish. Best from 2014 through 2020. 135 cases made.|–HS|TANNINS,EXCELLENT FINISH,RASPBERRY,CINNAMON,WELL-STRUCTURED,LAYERS,LONG,TIGHT,|70|Oregon|Oregon|Dec 15, 2012
DOMAINE ST.-PRÉFERT Châteauneuf-du-Pape White Cuvée Spéciale Vieilles Clairettes|2010|96|Light toasty brioche and macadamia nut notes lead to even fuller flavors of mango, quince, creamed pear and glazed peach, yet this stays racy and defined, with bitter lemon, citrus oil and pink grapefruit accents that flash through the very long finish. This has power, but stays lithe at the same time. A beautiful wine. Drink now through 2016. 83 cases made.|–JM|LONG FINISH,CITRUS,GRAPEFRUIT,LEMON,QUINCE,PEACH,MANGO,TOASTY,LIGHT-BODIED,BEAUTY,POWER,RACY,|150|France|Southern Rhône|Sep 30, 2012
TOR Chardonnay Sonoma Valley Durell Vineyard Wente Clone|2010|95|Rich and flavorful, this is a big wine that's also graceful and elegant, offering an exotic range of honey, pear, fig, butterscotch, toasty oak, roasted marshmallow and tangerine. Drink now through 2020. 150 cases made.|–JL|TOASTY OAK,TANGERINE,PEAR,BUTTERSCOTCH,HONEY,ELEGANT,FLAVORFUL,GRACE,RICH,|54|California|Sonoma|Jun 30, 2012
J. WEGELER ERBEN Riesling Auslese Mosel Bernkasteler Doctor|2010|95|Luscious sweetie, with concentrated peach, apricot and ripe pear flavors that ooze honey and cream. Very lush, with plenty of butter and spice on the long, rich finish. Excellent balance and structure supports it all. Drink now through 2040. 5 cases imported.|–KM|APRICOT,PEACH,PEAR,BUTTER,HONEY,CREAM,SPICE,CONCENTRATED,WELL-STRUCTURED,BALANCE,LONG,LUSCIOUS,LUSH,|89|Germany|Germany|Web Only - 2012
J. WEGELER ERBEN Riesling Trockenbeerenauslese Rheingau Geisenheimer Rothenberg|2010|96|Long, rich and thick, this boasts a luscious mix of ripe peach, apricot and baked pear flavors that are supported by loads of fresh acidity. Ripe citrus and nectarine flavors come to the fore as well, with plenty of fresh minerally touches on the finish. Drink now through 2050.|–KM|BAKED PEAR,ACIDITY,CITRUS,APRICOT,NECTARINE,PEACH,MINERAL,FRESH,LONG,LUSCIOUS,RIPE,|320|Germany|Germany|Web Only - 2012
J. WEGELER ERBEN Riesling Trockenbeerenauslese Mosel Bernkasteler Doctor|2010|96|This is off to the races with vibrant citrus and white fruit flavors that are supported by concentrated acidity. Very well-integrated, delivering chamomile notes midpalate and a graceful finish, that features plenty of floral notes. Drink now through 2050.|–KM|WHITE FRUIT,EXCELLENT FINISH,CITRUS,CHAMOMILE,FLORAL,CONCENTRATED,VIBRANT,WELL-INTEGRATED,|322|Germany|Germany|Web Only - 2012
ROBERT WEIL Riesling Trockenbeerenauslese Rheingau Kiedrich Gräfenberg|2010|95|Rich and full-flavored, with toffee, mango and passion fruit notes that are full of spice and honey. Racy, with plenty of slate and saline notes that linger on the sturdy finish of glazed citrus and dried mango. Drink now through 2048. 60 cases made.|–KM|PASSION FRUIT,CITRUS,MANGO,HONEY,TOFFEE,MINERAL,SPICE,LINGER,RICH,|672|Germany|Germany|Mar 31, 2012
